white,black,result,time,illegal_move,moves,fen,white_elo,black_elo,eval
stockfish,gpt-3.5-turbo-instruct,1,45.71390426300002,No valid suggestions: | |,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'g1f3', 'b8c6', 'b2c3', 'g8f6', 'f1d3', 'f8c5', 'b1d2', 'e8g8', 'e1g1', 'd7d6', 'd2b3', 'c5b6', 'c1g5', 'h7h6', 'g5f6', 'd8f6', 'd1c2', 'f8e8', 'd3b5']",r1b1r1k1/ppp2pp1/1bnp1q1p/1B6/4P3/1NP2N2/P1Q2PPP/R4RK1 b - - 3 13,1125.0,1125.0,"{'type': 'cp', 'value': -250}"
stockfish,gpt-3.5-turbo-instruct,1,65.90540107499999,No valid suggestions: |,"['e2e3', 'c7c5', 'g1f3', 'b8c6', 'f1e2', 'd7d5', 'e1g1', 'g8f6', 'c2c3', 'e7e5', 'b2b4', 'c5b4', 'c3b4', 'f8b4', 'a2a3', 'b4d6', 'b1c3', 'c8e6', 'a1b1', 'e8g8', 'b1b7', 'a8b8', 'b7b8', 'd8b8', 'd2d4', 'e5e4', 'f3g5', 'h7h6', 'g5e6', 'f7e6', 'h2h3', 'c6e7', 'c3b5', 'd6h2', 'g1h1', 'h2d6', 'a3a4', 'b8d8', 'd1b3', 'd6b8', 'c1a3', 'e7c8', 'a3f8', 'd8f8', 'h1g1', 'c8e7', 'f1b1', 'f8d8', 'a4a5']",1b1q2k1/p3n1p1/4pn1p/PN1p4/3Pp3/1Q2P2P/4BPP1/1R4K1 b - - 0 25,1125.0,1125.0,"{'type': 'cp', 'value': 322}"
gpt-3.5-turbo-instruct,stockfish,0,68.20215544999996,No valid suggestions: |,"['e2e4', 'd7d5', 'e4d5', 'g8f6', 'f1e2', 'f6d5', 'd2d4', 'c8f5', 'g1f3', 'e7e6', 'e1g1', 'h7h6', 'c2c4', 'd5e7', 'b1c3', 'e7g6', 'd4d5', 'f8e7', 'f3d4', 'e7f6', 'd4f5', 'e6f5', 'e2d3', 'e8g8', 'd3f5', 'b8d7', 'c1e3', 'g6e7', 'f5d7', 'f6c3', 'b2c3', 'a7a6', 'd1g4', 'f7f5', 'g4d4', 'f8f7', 'd7e6', 'c7c5', 'd5c6', 'd8c7', 'e6f7', 'g8f7', 'd4d7', 'c7c8', 'c6b7', 'f7f8', 'd7c8', 'a8c8', 'b7c8q', 'f8f7', 'c8a6', 'g7g6', 'f2f4', 'f7g8', 'a6f6', 'g6g5', 'f6e7', 'g5f4']",6k1/4Q3/7p/5p2/2P2p2/2P1B3/P5PP/R4RK1 w - - 0 30,1125.0,1125.0,"{'type': 'mate', 'value': 2}"
gpt-3.5-turbo-instruct,stockfish,0,58.97780531199999,"No valid suggestions: || Nxh1 Bd8 | |

Nf8 22","['e2e4', 'a7a6', 'd2d4', 'e7e6', 'g1f3', 'd7d5', 'e4e5', 'c7c5', 'c2c3', 'd8c7', 'b1a3', 'b7b6', 'a3c2', 'g8e7', 'f1d3', 'h7h6', 'e1g1', 'c5c4', 'd3e2', 'b6b5', 'a2a4', 'b5a4', 'a1a4', 'c8d7', 'c1f4', 'd7a4', 'f4g3', 'a4c2', 'd1c2', 'c7b7', 'f1a1', 'e7c6', 'c2a4', 'a8a7', 'a4a2', 'h6h5', 'h2h3', 'h5h4', 'f3h2', 'f8e7']",1n2k2r/rq2bpp1/p1n1p3/3pP3/2pP3p/2P3BP/QP2BPPN/R5K1 w k - 2 21,1125.0,1125.0,"{'type': 'cp', 'value': -476}"
gpt-3.5-turbo-instruct,stockfish,0,68.39735046599998,"No valid suggestions: | Qxe5 Bb7| || [
Event ""FIDE World|Kh2 Bb7 ","['e2e4', 'e7e5', 'g1f3', 'd7d6', 'f1c4', 'c8g4', 'b1c3', 'g8f6', 'd2d3', 'a7a6', 'c1g5', 'c7c6', 'h2h3', 'g4c8', 'f3d2', 'f8e7', 'e1g1', 'b8d7', 'g1h1', 'd7f8', 'f2f4', 'b7b5', 'c4b3', 'f8g6', 'g2g3', 'h7h6', 'f4f5', 'g6f8', 'g5e3', 'd6d5', 'd1f3', 'f8h7', 'e4d5', 'b5b4', 'c3e2', 'h7g5', 'e3g5', 'h6g5', 'd5c6', 'h8h3', 'h1g2', 'g5g4', 'f3e3', 'd8d6', 'd2e4', 'd6c6']",r1b1k3/4bpp1/p1q2n2/4pP2/1p2N1p1/1B1PQ1Pr/PPP1N1K1/R4R2 w q - 0 24,1125.0,1125.0,"{'type': 'cp', 'value': -279}"
gpt-3.5-turbo-instruct,stockfish,0,52.43147801900005,No valid suggestions: | |,"['e2e4', 'e7e6', 'g1f3', 'a7a6', 'd2d4', 'f8e7', 'b1c3', 'c7c5', 'd4d5', 'd7d6', 'a2a4', 'e7f6', 'f1d3', 'g8e7', 'd1e2', 'e8g8', 'e1g1', 'b8d7', 'f1e1', 'f6c3', 'b2c3', 'e6d5', 'e4d5', 'e7d5', 'c3c4', 'd5f6', 'c1b2', 'b7b6', 'f3g5', 'h7h6', 'g5e4', 'a8a7', 'e4d6', 'd7b8', 'd6c8', 'a7c7', 'c8b6', 'c7b7', 'b6d5', 'f6d5', 'c4d5', 'b7b2', 'e2e5', 'b2b6', 'd3f5', 'd8d6', 'c2c4', 'd6e5', 'e1e5', 'b6b4']",1n3rk1/5pp1/p6p/2pPRB2/PrP5/8/5PPP/R5K1 w - - 1 26,1100.0,1100.0,"{'type': 'cp', 'value': 170}"
gpt-3.5-turbo-instruct,stockfish,0,46.42034519800001,No valid suggestions: ||21,"['e2e4', 'e7e6', 'g1f3', 'f8e7', 'd2d4', 'a7a6', 'b1c3', 'd7d6', 'f1d3', 'c8d7', 'e1g1', 'c7c5', 'c1e3', 'g8f6', 'e4e5', 'f6g4', 'd1e2', 'c5d4', 'e3d4', 'g4e5', 'f3e5', 'h7h5', 'e2f3', 'e8g8', 'f3e4', 'd6e5', 'd4e5', 'f7f5', 'e4f4', 'd7e8', 'd3c4', 'g8h7', 'c4e6', 'b8d7', 'e6f5', 'g7g6', 'f4g5', 'e7g5']",r2qbr2/1p1n3k/p5p1/4BBbp/8/2N5/PPP2PPP/R4RK1 w - - 0 20,1100.0,1100.0,"{'type': 'cp', 'value': -601}"
stockfish,gpt-3.5-turbo-instruct,1,16.210521001000018,No valid suggestions: |,"['e2e4', 'e7e5', 'f1c4', 'g8f6', 'g1f3', 'f6e4', 'f3e5', 'b8c6', 'e5f7']",r1bqkb1r/pppp1Npp/2n5/8/2B1n3/8/PPPP1PPP/RNBQK2R b KQkq - 0 5,1100.0,1100.0,"{'type': 'cp', 'value': 220}"
stockfish,gpt-3.5-turbo-instruct,1,48.507893803,No valid suggestions: || ,"['e2e4', 'e7e5', 'f1c4', 'g8f6', 'g1f3', 'b8c6', 'b1c3', 'f8c5', 'a2a3', 'e8g8', 'b2b4', 'c5b6', 'd2d3', 'h7h6', 'h2h3', 'd7d6', 'c4b3', 'c6d4', 'b3c4', 'c8e6', 'a1b1', 'c7c6', 'e1g1', 'd6d5', 'f3d4', 'e5d4', 'e4e5', 'd4c3', 'e5f6', 'd5c4', 'f6g7', 'g8g7', 'f1e1', 'c4d3', 'c2d3', 'f7f5', 'e1e6']",r2q1r2/pp4k1/1bp1R2p/5p2/1P6/P1pP3P/5PP1/1RBQ2K1 b - - 0 19,1100.0,1100.0,"{'type': 'cp', 'value': -13}"
stockfish,gpt-3.5-turbo-instruct,1,47.55365639400003,No valid suggestions: || Bxd2 18,"['g1f3', 'g8f6', 'g2g3', 'g7g6', 'f1g2', 'f8g7', 'd2d3', 'e8g8', 'e1g1', 'd7d6', 'f1e1', 'b8d7', 'b1c3', 'e7e5', 'e2e4', 'c7c6', 'd3d4', 'd8e7', 'd4e5', 'd6e5', 'g2h3', 'd7c5', 'h3g2', 'a8b8', 'a2a4', 'f8d8', 'c1d2', 'c8e6', 'f3g5', 'e6g4', 'f2f3', 'c5e6', 'f3g4']",1r1r2k1/pp2qpbp/2p1nnp1/4p1N1/P3P1P1/2N3P1/1PPB2BP/R2QR1K1 b - - 0 17,1100.0,1100.0,"{'type': 'cp', 'value': -43}"
stockfish,gpt-3.5-turbo-instruct,1,67.90722483800005,No valid suggestions: |,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'g1f3', 'b8c6', 'f3d4', 'g8f6', 'd4c6', 'b7c6', 'b1c3', 'f8b4', 'e4e5', 'e8g8', 'e5f6', 'f8e8', 'c1e3', 'b4c3', 'b2c3', 'd8f6', 'd1d2', 'd7d5', 'a2a3', 'a8b8', 'f1d3', 'c6c5', 'e1g1', 'c5c4', 'd3e2', 'c8f5', 'e2f3', 'c7c6', 'a1b1', 'f6g6', 'b1b8', 'e8b8', 'd2c1', 'h7h6', 'h2h4']",1r4k1/p4pp1/2p3qp/3p1b2/2p4P/P1P1BB2/2P2PP1/2Q2RK1 b - - 0 20,1075.0,1075.0,"{'type': 'cp', 'value': 371}"
gpt-3.5-turbo-instruct,stockfish,0,83.80250772199997,"No valid suggestions: | || |4-4

After a","['e2e4', 'e7e5', 'g1f3', 'd7d5', 'e4d5', 'g8e7', 'f3e5', 'b8d7', 'e5d7', 'c8d7', 'b1c3', 'e7g6', 'd2d4', 'f8b4', 'c1d2', 'd8e7', 'd1e2', 'b4c3', 'd2c3', 'e8g8', 'e2e7', 'g6e7', 'e1c1', 'e7d5', 'c3e1', 'c7c6', 'c2c4', 'd5f6', 'f1d3', 'd7g4', 'f2f3', 'g4h5', 'e1c3', 'f8e8', 'g2g4', 'f6g4', 'f3g4', 'h5g6', 'd3g6', 'a7a5', 'g6f7', 'g8h8', 'f7e8', 'a8e8', 'd1e1', 'e8f8', 'e1e8', 'h8g8', 'e8f8', 'g8f8', 'c1d2', 'f8f7', 'd2e3', 'c6c5', 'e3f4', 'g7g6', 'd4d5', 'a5a4']",8/1p3k1p/6p1/2pP4/p1P2KP1/2B5/PP5P/7R w - - 0 30,1075.0,1075.0,"{'type': 'cp', 'value': 3738}"
gpt-3.5-turbo-instruct,stockfish,0,82.030854638,No valid suggestions: || | g6 ,"['e2e4', 'a7a6', 'd2d4', 'c7c6', 'b1d2', 'e7e6', 'g1f3', 'g8f6', 'f1d3', 'd7d5', 'e4e5', 'f6g8', 'e1g1', 'a6a5', 'c2c3', 'c6c5', 'f1e1', 'b8c6', 'd3c2', 'h7h6', 'd2f1', 'c5d4', 'c3d4', 'c8d7', 'c1f4', 'f8b4', 'e1e3', 'g8e7', 'f4g3', 'a5a4', 'a2a3', 'b4a5', 'e3c3', 'a5c3', 'b2c3', 'f7f5', 'e5f6', 'g7f6', 'f3h4', 'e8g8', 'd1g4', 'g8f7', 'g4h5', 'f7g8', 'h5h6', 'f6f5', 'h6e3', 'a8c8', 'e3d2', 'c6a5']",2rq1rk1/1p1bn3/4p3/n2p1p2/p2P3N/P1P3B1/2BQ1PPP/R4NK1 w - - 4 26,1075.0,1075.0,"{'type': 'cp', 'value': 553}"
gpt-3.5-turbo-instruct,stockfish,0.0,79.98834875400001,,"['e2e4', 'd7d5', 'b1c3', 'd5d4', 'c3e2', 'b8c6', 'd2d3', 'g8f6', 'c2c3', 'e7e6', 'g1f3', 'e6e5', 'c3d4', 'e5d4', 'c1f4', 'f8b4', 'f4d2', 'a7a5', 'a2a3', 'b4d2', 'd1d2', 'c8g4', 'e1c1', 'f6d7', 'd2f4', 'h7h5', 'g2g3', 'a5a4', 'f3g5', 'd8e7', 'h2h3', 'f7f6', 'h3h4', 'e7c5', 'c1b1', 'd7e5', 'g5f3', 'g4f3', 'h1g1', 'f3g4', 'e2c1', 'g4d1', 'c1e2', 'd1c2', 'b1c1', 'c6a5', 'f4d2', 'a5b3']",r3k2r/1pp3p1/5p2/2q1n2p/p2pP2P/Pn1P2P1/1PbQNP2/2K2BR1 w kq - 6 25,1075.0,1075.0,
gpt-3.5-turbo-instruct,stockfish,0,70.15227379000004,No valid suggestions: || Qg3 Qh6,"['e2e4', 'e7e5', 'g1f3', 'b8c6', 'b1c3', 'a7a6', 'd2d4', 'c6d4', 'f3d4', 'e5d4', 'd1d4', 'g8e7', 'c1g5', 'f7f6', 'g5h4', 'e7g6', 'h4g3', 'h7h5', 'e1c1', 'd7d6', 'd4d5', 'd8d7', 'f1c4', 'c7c6', 'd5g8', 'h8g8', 'c4g8', 'g6e5', 'g8h7', 'e8d8', 'h7f5', 'd7e8', 'g3e5', 'f6e5', 'f5c8', 'd8c8', 'd1d3', 'e8g6']",r1k2b2/1p4p1/p1pp2q1/4p2p/4P3/2NR4/PPP2PPP/2K4R w - - 2 20,1075.0,1075.0,"{'type': 'cp', 'value': -490}"
stockfish,gpt-3.5-turbo-instruct,1,75.64154501300004,No valid suggestions: |,"['d2d4', 'g8f6', 'g1f3', 'g7g6', 'h2h3', 'b8c6', 'c2c4', 'f8g7', 'c1f4', 'd7d5', 'e2e3', 'e8g8', 'b1d2', 'c8f5', 'f1e2', 'e7e6', 'd1b3', 'd8d7', 'a1c1', 'a7a6', 'f3e5', 'c6e5', 'd4e5', 'f6e4', 'c4d5', 'e4d2', 'e1d2', 'f8d8', 'd5d6', 'c7d6', 'e5d6', 'e6e5', 'e3e4', 'f5e4', 'd2e3', 'e4g2', 'f4e5', 'g2h1', 'c1c7', 'd7h3', 'e5g3', 'd8f8', 'e3d2', 'g7e5', 'g3e5', 'h3b3', 'a2b3']",r4rk1/1pR2p1p/p2P2p1/4B3/8/1P6/1P1KBP2/7b b - - 0 24,1050.0,1050.0,"{'type': 'cp', 'value': -150}"
stockfish,gpt-3.5-turbo-instruct,1,72.51299073900003,No valid suggestions: ||Nf6 25,"['d2d4', 'g8f6', 'c2c4', 'e7e6', 'a2a3', 'c7c5', 'd4d5', 'd7d6', 'd1a4', 'c8d7', 'a4d1', 'e6d5', 'c4d5', 'f8e7', 'e2e3', 'e8g8', 'g1f3', 'd7g4', 'f1e2', 'b8d7', 'e1g1', 'd7b6', 'h2h3', 'g4h5', 'd1b3', 'f6e4', 'b1d2', 'e4d2', 'c1d2', 'e7f6', 'g2g4', 'h5g6', 'd2c3', 'f6c3', 'b3c3', 'b6d7', 'f1d1', 'd7f6', 'a1c1', 'f6e4', 'c3d3', 'e4f2', 'd3b3', 'f2d1', 'e2c4', 'f8e8', 'c1d1']",r2qr1k1/pp3ppp/3p2b1/2pP4/2B3P1/PQ2PN1P/1P6/3R2K1 b - - 0 24,1050.0,1050.0,"{'type': 'cp', 'value': -512}"
stockfish,gpt-3.5-turbo-instruct,1,63.79679544700002,No valid suggestions: || ,"['d2d4', 'g8f6', 'a2a3', 'c7c5', 'g1f3', 'c5d4', 'e2e3', 'd4e3', 'c1e3', 'd7d5', 'f1b5', 'b8d7', 'c2c4', 'e7e6', 'e1g1', 'f8e7', 'b1c3', 'd5c4', 'f3e5', 'e8g8', 'b5d7', 'c8d7', 'd1e2', 'b7b5', 'f1d1', 'd8c7', 'e3f4', 'c7b7', 'a3a4', 'a7a6', 'a4b5', 'a6b5', 'a1a8', 'f8a8', 'e5d7', 'f6d7', 'e2f3', 'b7f3', 'g2f3']",r5k1/3nbppp/4p3/1p6/2p2B2/2N2P2/1P3P1P/3R2K1 b - - 0 20,1050.0,1050.0,"{'type': 'cp', 'value': -328}"
stockfish,gpt-3.5-turbo-instruct,1,77.86585408900004,No valid suggestions: |,"['g1f3', 'c7c5', 'e2e4', 'b8c6', 'f1e2', 'g8f6', 'b1c3', 'd7d5', 'e4e5', 'f6g4', 'd2d3', 'c6e5', 'd3d4', 'e5c6', 'e2b5', 'e7e6', 'd1e2', 'c5d4', 'f3d4', 'c8d7', 'b5c6', 'b7c6', 'e2g4', 'c6c5', 'd4b3', 'd5d4', 'c3e4', 'f7f5', 'g4e2', 'f5e4', 'e2e4', 'f8d6', 'c1g5', 'd8c8', 'e1c1', 'e8g8', 'b3d2', 'd7c6', 'e4d3', 'c8b7', 'd1e1', 'c6d5', 'b2b3', 'a8d8', 'f2f3']",3r1rk1/pq4pp/3bp3/2pb2B1/3p4/1P1Q1P2/P1PN2PP/2K1R2R b - - 0 23,1050.0,1050.0,"{'type': 'cp', 'value': -125}"
stockfish,gpt-3.5-turbo-instruct,1,75.68334928899998,No valid suggestions: |,"['g1f3', 'g8f6', 'a2a3', 'b8c6', 'd2d4', 'e7e6', 'g2g3', 'b7b6', 'c1g5', 'c8b7', 'f1g2', 'd7d5', 'e2e3', 'f8e7', 'e1g1', 'e8g8', 'f1e1', 'f6e4', 'g5e7', 'd8e7', 'b1d2', 'f7f5', 'g2f1', 'f8f6', 'c2c3', 'a7a5', 'd2e4', 'f5e4', 'f3e5', 'c6e5', 'd4e5', 'f6f5', 'a1c1', 'e7f7', 'd1c2', 'f7h5', 'f1e2', 'h5f7', 'e1f1', 'f5e5', 'f2f3', 'e4f3', 'e2f3', 'f7e7', 'c2e2', 'b7a6', 'e2g2', 'a6f1', 'g2f2']",r5k1/2p1q1pp/1p2p3/p2pr3/8/P1P1PBP1/1P3Q1P/2R2bK1 b - - 1 25,1050.0,1050.0,"{'type': 'cp', 'value': -650}"
stockfish,gpt-3.5-turbo-instruct,1,10.345761750000065,No valid suggestions: |,"['g1f3', 'g8f6', 'd2d4', 'd7d5', 'a2a4']",rnbqkb1r/ppp1pppp/5n2/3p4/P2P4/5N2/1PP1PPPP/RNBQKB1R b KQkq - 0 3,1125.0,1125.0,"{'type': 'cp', 'value': -5}"
stockfish,gpt-3.5-turbo-instruct,1,48.78625095699999,No valid suggestions: |,"['e2e3', 'e7e5', 'a2a3', 'b8c6', 'd2d4', 'd7d5', 'd4e5', 'c6e5', 'f1e2', 'g8f6', 'b1d2', 'f8d6', 'g1f3', 'e8g8', 'b2b4', 'c8g4', 'h2h3', 'g4f3', 'd2f3', 'e5f3', 'e1f1', 'c7c6', 'e2f3', 'd6c7', 'c1b2', 'd8d6', 'b2f6', 'd6f6', 'g2g3', 'f8e8', 'a3a4', 'a8d8', 'f1g2', 'd5d4', 'b4b5', 'c6b5', 'e3e4', 'd8d6', 'e4e5']",4r1k1/ppb2ppp/3r1q2/1p2P3/P2p4/5BPP/2P2PK1/R2Q3R b - - 0 20,1125.0,1125.0,"{'type': 'cp', 'value': -45}"
stockfish,gpt-3.5-turbo-instruct,1,55.32591588399998,No valid suggestions: |,"['e2e4', 'c7c5', 'f1e2', 'b8c6', 'g1f3', 'd7d6', 'e1g1', 'g8f6', 'd2d4', 'c5d4', 'e2b5', 'a7a6', 'b5c6', 'b7c6', 'd1d4', 'e7e5', 'd4a4', 'c8d7', 'f1e1', 'f8e7', 'c2c4', 'e8g8', 'h2h3', 'd8c7', 'c1g5', 'h7h6', 'g5d2', 'f8b8', 'a4a3', 'e7f8', 'd2a5', 'c7b7', 'b2b3', 'd6d5', 'a3c1', 'd5e4', 'f3h4', 'c6c5', 'c1e3', 'd7c6', 'h4f5', 'b8e8', 'b1c3', 'g7g6', 'f5g3', 'f6d7', 'c3e4', 'f7f5', 'e4c3']",r3rbk1/1q1n4/p1b3pp/B1p1pp2/2P5/1PN1Q1NP/P4PP1/R3R1K1 b - - 1 25,1125.0,1125.0,"{'type': 'cp', 'value': -222}"
stockfish,gpt-3.5-turbo-instruct,1,3.117402173000073,No valid suggestions: ||1,['e2e3'],rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,1125.0,1125.0,"{'type': 'cp', 'value': 16}"
